Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;8;5;2;1;1;1;13;10;6;10;1;0;0;1;1;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout
1;6;1;11;1;1;1;1;3;4;4;1;0;0;0;1;0;19;0;0;6;6;6;14.0;0;0;6;6;6;13.666.666.666.666.600;0;13.9;-0.3;0.79;Graduate
1;1;5;5;1;1;1;22;27;10;10;1;0;0;0;1;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;Dropout
1;8;2;15;1;1;1;23;27;6;4;1;0;0;1;0;0;20;0;0;6;8;6;13.428.571.428.571.400;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;Graduate
2;12;1;3;0;1;1;22;28;10;10;0;0;0;1;0;0;45;0;0;6;9;5;12.333.333.333.333.300;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;Graduate
2;12;1;17;0;12;1;22;27;10;8;0;0;1;1;1;0;50;0;0;5;10;5;11.857.142.857.142.800;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;Graduate
1;1;1;12;1;1;1;13;28;8;11;1;0;0;1;0;1;18;0;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;Graduate
1;9;4;11;1;1;1;22;27;10;10;1;0;0;0;1;0;22;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout
1;1;3;10;1;1;15;1;1;10;10;0;0;0;1;0;1;21;1;0;6;8;6;13.875;0;0;6;7;6;14.142.857.142.857.100;0;16.2;0.3;-0.92;Graduate
1;1;1;10;1;1;1;1;14;5;8;1;0;1;0;0;0;18;0;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;Dropout
1;1;1;14;1;1;1;23;14;6;8;1;0;0;1;0;0;18;0;0;6;6;6;12.333.333.333.333.300;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;Graduate
1;1;1;12;1;1;1;13;28;10;10;1;0;0;1;0;1;18;0;0;8;8;7;13.214.285.714.285.700;0;0;8;8;7;13.214.285.714.285.700;0;12.7;3.7;-1.7;Graduate
1;1;2;16;1;1;1;13;27;5;10;1;0;0;1;0;0;19;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;Dropout
1;17;1;11;1;16;1;1;1;5;8;1;0;0;1;0;1;21;0;0;6;7;6;10.571.428.571.428.500;0;0;6;8;5;11.0;0;8.9;1.4;3.51;Graduate
1;1;1;6;1;1;1;23;27;6;6;1;0;0;1;0;1;18;0;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;Graduate
1;1;1;15;1;1;1;13;27;10;4;1;0;0;1;0;0;20;0;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;Dropout
1;9;1;10;1;1;1;13;28;6;9;1;0;0;1;0;0;18;0;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;Enrolled
1;8;2;12;1;1;1;13;1;6;5;1;0;0;1;0;0;18;0;0;7;8;7;1.330.625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06;Graduate
1;1;1;8;1;1;1;3;14;4;6;1;0;0;1;0;0;20;0;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;Graduate
1;1;1;16;1;1;1;13;14;8;8;1;0;0;1;0;0;18;0;0;7;7;6;11.666.666.666.666.600;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;Enrolled
1;1;3;2;1;1;1;1;1;10;9;0;0;0;1;0;1;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;Graduate
1;9;4;13;1;1;1;1;28;5;8;1;0;0;1;0;0;20;0;0;7;14;7;114.375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7;Enrolled
1;1;4;12;1;1;1;13;14;2;2;1;0;0;1;0;0;18;0;0;8;12;7;12.857.142.857.142.800;0;0;8;12;7;12.857.142.857.142.800;0;12.7;3.7;-1.7;Graduate
1;1;4;14;1;1;1;1;28;5;8;1;0;0;1;0;1;19;0;0;6;8;6;13.375;0;0;6;7;6;12.285.714.285.714.200;0;11.1;0.6;2.02;Graduate
1;1;1;12;1;1;1;13;14;4;8;0;0;0;1;0;0;19;0;0;7;8;6;13.296.666.666.666.600;0;0;8;9;7;14.114.285.714.285.700;0;11.1;0.6;2.02;Graduate
1;1;1;10;1;1;1;13;28;10;10;1;0;1;1;0;1;18;0;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;Enrolled
1;8;2;10;1;1;1;13;28;8;9;1;0;0;1;0;0;21;0;0;6;9;6;11.375;0;0;6;9;6;13.285.714.285.714.200;0;16.2;0.3;-0.92;Graduate
1;1;1;6;1;1;1;13;14;4;4;1;0;0;1;0;0;18;0;0;5;9;5;12.666.666.666.666.600;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;Enrolled
1;1;1;9;1;1;1;13;1;10;10;1;0;0;1;0;0;20;0;0;5;6;5;12.0;0;0;5;6;5;12.333.333.333.333.300;0;16.2;0.3;-0.92;Graduate
1;8;2;12;1;1;1;3;3;2;11;1;0;0;1;1;0;19;0;0;7;9;6;12.933.333.333.333.300;0;0;7;7;6;13.716.666.666.666.600;0;16.2;0.3;-0.92;Enrolled
1;15;1;4;1;14;1;4;5;5;3;0;0;0;1;1;0;21;0;0;6;15;5;11.857.142.857.142.800;0;0;6;17;5;10.571.428.571.428.500;0;16.2;0.3;-0.92;Enrolled
1;16;1;5;1;1;1;27;3;16;22;1;0;0;1;1;0;20;0;2;6;7;6;12.833.333.333.333.300;0;0;6;9;4;13.4;0;8.9;1.4;3.51;Graduate
1;1;1;9;1;1;1;1;1;5;7;0;0;0;0;1;0;18;0;0;5;9;3;11.333.333.333.333.300;0;0;5;8;2;13.5;0;8.9;1.4;3.51;Enrolled
1;9;1;3;0;1;1;13;1;10;6;1;0;0;1;0;0;19;0;0;6;6;6;12.666.666.666.666.600;0;0;6;8;6;14.375;0;12.4;0.5;1.79;Graduate
1;1;1;17;0;1;1;2;27;4;10;0;0;0;1;1;0;34;0;0;5;6;5;12.4;0;0;5;9;5;13.428.571.428.571.400;0;13.9;-0.3;0.79;Graduate
1;12;1;1;1;1;1;23;27;10;7;0;0;1;0;1;0;37;0;0;7;7;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51;Dropout
1;12;1;7;1;8;1;19;27;1;1;1;0;0;1;1;0;43;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;7.6;2.6;0.32;Dropout
1;14;1;9;1;1;1;22;27;7;7;0;0;0;1;0;0;55;0;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92;Dropout
4;12;1;17;0;1;1;13;14;10;4;1;0;0;1;0;0;39;0;0;5;8;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;Graduate
1;15;1;8;1;14;3;4;4;4;7;0;0;1;0;0;0;20;1;2;6;13;3;11.666.666.666.666.600;0;1;6;11;3;12.0;0;12.4;0.5;1.79;Dropout
1;1;5;15;1;1;1;3;3;3;3;0;0;1;1;0;0;18;0;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;Dropout
1;1;2;9;1;1;1;3;14;3;8;1;0;0;1;0;0;22;0;0;5;5;5;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51;Graduate
1;1;6;12;1;1;1;1;3;3;3;1;1;0;1;0;0;22;0;0;7;9;5;13.928;0;0;8;9;7;14.342.857.142.857.100;0;11.1;0.6;2.02;Graduate
1;8;1;15;1;1;1;1;28;6;6;0;0;0;0;0;0;20;0;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79;Dropout
1;12;1;17;0;1;1;22;27;10;10;0;0;0;1;0;0;29;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92;Dropout
1;8;1;17;0;1;1;23;28;5;6;0;0;0;1;0;0;24;0;0;5;9;2;11.5;0;0;5;11;3;14.333.333.333.333.300;1;7.6;2.6;0.32;Enrolled
1;8;2;10;1;1;1;13;14;10;10;1;0;0;1;0;0;18;0;0;6;6;6;11.666.666.666.666.600;0;0;6;8;5;13.2;0;11.1;0.6;2.02;Graduate
1;8;6;12;1;1;1;22;14;8;8;1;0;0;1;0;1;22;0;0;7;8;6;13.516.666.666.666.600;0;0;8;9;7;13.771.428.571.428.500;0;11.1;0.6;2.02;Graduate
1;15;1;3;0;14;1;1;14;10;10;0;0;0;1;0;1;21;0;3;6;6;6;11.5;0;2;6;7;6;13.285.714.285.714.200;0;12.4;0.5;1.79;Graduate
1;1;1;10;1;1;1;22;28;10;10;0;0;0;1;0;1;19;0;0;6;7;5;12.333.333.333.333.300;0;0;6;7;6;12.833.333.333.333.300;0;12.7;3.7;-1.7;Graduate
1;12;1;11;1;1;1;13;28;10;8;0;0;0;1;0;1;24;0;0;6;6;6;13.666.666.666.666.600;0;0;6;6;6;14.166.666.666.666.600;0;12.4;0.5;1.79;Graduate
1;1;1;12;1;1;1;22;28;7;7;1;0;0;1;0;1;19;0;0;8;10;6;11.833.333.333.333.300;0;0;8;10;6;11.833.333.333.333.300;0;9.4;-0.8;-3.12;Enrolled
1;1;1;15;1;1;1;1;14;8;8;1;0;0;1;0;1;20;0;0;6;11;4;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12;Enrolled
1;1;3;8;1;1;1;22;27;12;12;0;0;0;1;0;0;19;0;0;5;7;5;14.714.285.714.285.700;0;0;5;5;5;15.8;0;7.6;2.6;0.32;Graduate
1;12;1;17;0;1;1;23;28;10;10;0;0;0;1;0;0;27;0;0;5;12;5;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12;Dropout
1;1;1;12;1;1;1;1;14;6;6;1;0;0;1;0;0;18;0;0;7;9;7;13.044.444.444.444.400;0;0;8;10;8;13.595;0;15.5;2.8;-4.06;Graduate
2;4;1;11;1;3;1;1;3;5;4;0;0;0;1;0;0;39;0;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79;Dropout
1;12;1;8;1;15;1;3;3;3;3;1;0;0;1;0;0;27;0;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79;Dropout
1;8;1;12;1;1;1;23;28;8;11;1;0;0;1;0;0;18;0;0;8;8;8;14.935;0;0;8;8;8;14.935;0;9.4;-0.8;-3.12;Graduate
1;1;3;2;1;1;1;23;27;5;10;1;0;0;1;0;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;Enrolled
1;1;2;12;1;1;1;13;14;10;10;0;0;0;1;0;0;18;0;0;7;8;6;13.133.333.333.333.300;0;0;8;12;7;12.221.428.571.428.500;0;16.2;0.3;-0.92;Graduate
1;15;1;10;1;14;1;13;1;10;10;0;0;0;1;0;1;21;0;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79;Graduate
1;8;3;2;1;1;1;1;27;5;8;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Enrolled
1;8;1;5;1;1;1;1;1;4;5;1;0;0;1;1;0;19;0;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74;Enrolled
1;14;1;5;1;1;1;1;1;4;4;0;0;0;1;1;0;24;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;12.7;3.7;-1.7;Enrolled
4;13;1;12;1;12;1;1;1;6;6;1;0;0;1;1;0;29;0;2;7;10;5;11.9;0;1;8;10;5;11.0;0;13.9;-0.3;0.79;Dropout
1;1;3;2;1;1;1;13;14;6;4;1;0;0;1;1;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Graduate
1;15;1;4;1;14;1;13;27;10;10;1;0;0;1;1;0;23;0;0;6;8;6;12.571.428.571.428.500;0;0;6;7;6;12.428.571.428.571.400;0;8.9;1.4;3.51;Graduate
1;1;3;9;1;1;1;1;28;8;8;0;0;1;1;1;0;19;0;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92;Dropout
1;12;1;11;1;1;1;13;27;8;11;0;0;0;1;1;0;26;0;0;6;7;6;12.0;0;0;6;8;5;10.8;0;12.7;3.7;-1.7;Enrolled
1;8;1;9;1;1;1;23;27;6;6;0;0;0;1;1;0;18;0;0;5;9;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Enrolled
1;8;1;12;1;1;1;22;14;9;5;0;0;0;1;1;0;24;0;0;7;8;7;11.975;0;0;8;8;8;13.75;0;13.9;-0.3;0.79;Graduate
1;1;1;2;1;1;1;13;14;6;11;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;Dropout
1;8;4;11;1;1;1;23;27;6;8;1;0;0;1;1;0;18;0;0;6;12;3;11.666.666.666.666.600;0;0;6;12;1;12.0;0;12.4;0.5;1.79;Dropout
1;1;2;15;1;1;1;23;28;10;10;1;0;0;1;1;0;18;0;0;6;8;6;12.333.333.333.333.300;0;0;6;11;3;12.333.333.333.333.300;0;10.8;1.4;1.74;Graduate
1;8;3;9;1;1;1;13;14;5;8;1;0;1;1;1;0;18;0;0;5;8;3;10.333.333.333.333.300;0;0;5;11;3;10.857.142.857.142.800;0;10.8;1.4;1.74;Dropout
1;9;4;11;1;1;1;13;27;8;8;1;0;0;1;1;1;21;0;0;6;8;4;10.5;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12;Dropout
1;8;4;15;1;1;1;1;14;10;9;1;0;1;1;1;1;19;0;0;6;6;6;13.666.666.666.666.600;0;0;6;6;6;13.333.333.333.333.300;0;8.9;1.4;3.51;Graduate
1;8;4;12;1;1;1;23;27;10;10;0;0;0;1;1;1;22;0;0;7;7;7;14.842.857.142.857.100;0;0;8;9;8;15.055.555.555.555.500;0;16.2;0.3;-0.92;Graduate
2;12;1;3;0;1;1;22;27;10;7;0;0;0;1;1;0;33;0;0;6;8;6;12.0;0;0;6;6;6;11.666.666.666.666.600;0;10.8;1.4;1.74;Graduate
1;1;6;16;1;1;1;13;14;10;10;1;0;0;1;1;0;20;0;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74;Dropout
1;12;1;17;0;2;1;3;3;3;3;1;0;0;1;1;0;35;0;0;1;1;0;0.0;1;0;5;0;0;0.0;0;10.8;1.4;1.74;Dropout
1;12;1;4;1;4;1;3;3;5;3;0;0;1;1;1;0;24;0;6;12;17;6;12.166.666.666.666.600;0;7;12;14;10;13.3;0;12.4;0.5;1.79;Dropout
1;8;1;11;1;1;1;13;14;5;5;0;0;0;1;1;0;18;0;0;5;6;5;12.0;0;0;5;8;3;11.333.333.333.333.300;0;12.7;3.7;-1.7;Enrolled
2;12;1;3;0;1;1;22;27;10;7;1;0;0;1;0;0;33;0;0;6;7;6;11.0;0;0;6;11;5;11.0;0;9.4;-0.8;-3.12;Graduate
1;13;1;12;1;1;1;22;28;10;8;1;0;0;1;0;1;22;0;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10.8;1.4;1.74;Graduate
1;12;1;14;1;1;1;1;14;5;6;0;0;0;1;0;1;25;0;0;5;7;4;10.5;0;0;5;7;5;11.6;0;9.4;-0.8;-3.12;Graduate
1;8;1;5;1;1;1;13;28;5;1;1;0;0;1;1;0;20;0;0;6;9;6;10.666.666.666.666.600;1;0;6;6;5;11.2;0;7.6;2.6;0.32;Graduate
1;1;6;9;1;1;1;23;27;10;10;1;0;0;1;1;0;23;0;0;5;6;4;14.0;0;0;5;5;5;13.8;0;11.1;0.6;2.02;Enrolled
1;14;2;7;1;1;1;23;14;10;7;1;0;1;1;1;0;18;0;0;5;9;2;10.0;0;0;5;9;0;0.0;0;15.5;2.8;-4.06;Enrolled
1;12;1;12;1;1;1;1;1;5;11;0;0;0;1;1;0;24;0;0;7;18;0;0.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout
1;8;2;15;1;1;14;13;1;10;10;1;0;0;0;0;0;21;1;0;6;6;6;14.0;0;0;6;6;6;13.5;0;8.9;1.4;3.51;Graduate
1;6;1;8;1;1;14;1;1;5;5;0;0;0;1;0;0;26;1;0;6;7;2;12.0;1;0;6;6;0;0.0;0;8.9;1.4;3.51;Dropout
2;12;1;16;1;8;1;22;24;1;1;0;0;0;1;0;0;39;0;0;6;12;3;12.666.666.666.666.600;0;0;6;14;0;0.0;1;7.6;2.6;0.32;Dropout
2;12;1;3;0;1;1;22;14;10;10;0;0;0;1;0;0;44;0;2;8;11;8;11.875;0;0;6;7;6;12.333.333.333.333.300;0;12.7;3.7;-1.7;Graduate
1;6;1;7;1;1;12;23;3;10;3;1;0;0;1;1;0;19;1;0;5;9;5;14.0;0;0;5;11;3;13.25;0;13.9;-0.3;0.79;Enrolled
1;1;5;15;1;1;1;22;1;6;6;1;0;0;1;0;0;18;0;0;6;6;6;13.666.666.666.666.600;0;0;6;6;6;13.333.333.333.333.300;0;8.9;1.4;3.51;Graduate
1;1;5;12;1;1;1;22;27;8;8;1;0;0;1;0;1;18;0;0;7;7;7;13.75;0;0;8;9;8;1.447.777.777.777.770;0;12.4;0.5;1.79;Graduate
1;1;1;6;1;1;1;1;2;10;2;1;0;0;1;0;0;19;0;0;5;7;5;14.2;2;0;5;7;5;13.8;0;12.7;3.7;-1.7;Enrolled
1;1;4;12;1;1;1;3;3;3;3;1;0;1;0;0;0;19;0;0;7;10;4;11.96;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout
1;17;1;6;1;16;1;23;28;10;10;0;0;0;1;0;0;21;0;7;10;12;8;12.875;0;4;9;14;5;13.4;0;8.9;1.4;3.51;Dropout
1;1;4;2;1;1;1;1;1;10;11;1;0;0;1;0;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;16.2;0.3;-0.92;Graduate
2;12;1;3;0;1;1;22;27;7;6;1;0;0;1;0;0;36;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
4;12;1;4;1;9;1;22;27;10;7;0;0;0;1;0;0;43;0;13;18;19;18;1.463.157.894.736.840;0;10;13;14;13;1.423.076.923.076.920;1;15.5;2.8;-4.06;Graduate
1;9;1;16;1;1;1;13;14;10;8;1;0;0;1;0;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;11.1;0.6;2.02;Dropout
1;16;1;5;1;1;1;3;1;3;9;0;0;1;1;0;0;20;0;4;10;12;10;13.0;0;5;11;11;11;12.272.727.272.727.200;0;11.1;0.6;2.02;Graduate
1;1;2;10;1;1;1;22;28;5;8;1;0;0;1;0;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;16.2;0.3;-0.92;Dropout
1;1;1;6;1;1;1;1;1;5;5;1;0;0;1;0;0;20;0;0;6;15;4;14.2;0;0;6;17;4;13.25;0;15.5;2.8;-4.06;Dropout
1;1;5;12;1;1;1;3;4;5;4;1;0;0;1;0;0;20;0;2;7;9;6;13.266.666.666.666.600;0;0;7;10;5;12.3;0;12.4;0.5;1.79;Dropout
1;8;2;16;1;1;1;13;1;10;4;1;0;0;1;0;0;20;0;0;7;12;6;11.666.666.666.666.600;0;0;7;10;3;13.0;0;16.2;0.3;-0.92;Enrolled
1;1;1;10;1;1;1;22;27;7;8;1;0;0;1;0;0;18;0;0;6;8;6;13.857.142.857.142.800;0;0;6;6;6;15.0;0;13.9;-0.3;0.79;Graduate
1;8;2;9;1;1;1;1;28;5;8;1;0;0;1;0;1;18;0;0;5;9;3;13.0;0;0;5;11;3;11.0;0;8.9;1.4;3.51;Enrolled
1;1;1;6;1;1;1;13;14;10;10;1;0;0;1;0;0;19;0;0;5;6;5;13.4;0;0;5;5;5;12.8;0;10.8;1.4;1.74;Graduate
1;1;3;15;1;1;1;1;28;5;8;1;0;0;1;0;0;18;0;0;6;6;6;12.666.666.666.666.600;0;0;6;7;6;12.571.428.571.428.500;0;10.8;1.4;1.74;Graduate
1;8;2;12;1;1;1;22;27;10;10;1;0;0;1;0;0;18;0;0;7;7;6;12.516.666.666.666.600;1;0;7;7;6;12.516.666.666.666.600;1;7.6;2.6;0.32;Dropout
1;14;1;12;1;1;1;23;28;10;6;0;0;0;1;0;0;20;0;0;7;11;6;11.616.666.666.666.600;0;0;7;7;7;13.0;0;13.9;-0.3;0.79;Enrolled
1;8;1;10;1;1;1;13;27;10;8;1;0;0;1;0;1;20;0;0;6;13;2;10.0;0;0;6;12;4;10.75;0;7.6;2.6;0.32;Enrolled
